Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
2024,10.47119275761338,1.216863021634616,5.383073769230776,3.018827441124394,3.5515141662317973,0.19016846357067863,-0.4555280609096499
2025,10.594796937898451,1.2102189873251756,5.441769692307702,3.049486183202376,3.589758788353933,0.19337290129757356,-0.4693716399379575
2026,10.718401118183522,1.2035749530157354,5.500465615384613,3.080144925280365,3.6280034104760546,0.1965773390244685,-0.48321521896624375
2027,10.84200529846862,1.1969309187062933,5.559161538461538,3.110803667358347,3.6662480325981903,0.19978177675136433,-0.49705879799452646
2028,10.965609478753692,1.190286884396853,5.617857461538463,3.141462409436329,3.704492654720326,0.20298621447825926,-0.5109023770228323
2029,11.08921365903879,1.1836428500874128,5.676553384615389,3.172121151514311,3.7427372768424476,0.2061906522051551,-0.524745956051099
2030,11.212817839323861,1.1769988157779725,5.735249307692314,3.202779893592293,3.7809818989645834,0.20939508993205003,-0.5385895350794065
2031,11.33642201960896,1.1703547814685322,5.793945230769239,3.2334386356702822,3.819226521086719,0.21259952765894496,-0.5524331141076928
2032,11.460026199894031,1.163710747159092,5.85264115384615,3.2640973777482643,3.8574711432088407,0.2158039653858408,-0.5662766931359737
2033,11.58363038017913,1.15706671284965,5.9113370769230755,3.2947561198262463,3.8957157653309764,0.21900840311273573,-0.5801202721642529
2034,11.707234560464201,1.1504226785402096,5.970033000000001,3.3254148619042283,3.933960387453112,0.22221284083963067,-0.5939638511925622
2035,11.8308387407493,1.1437786442307694,6.028728923076926,3.3560736039822103,3.9722050095752337,0.2254172785665265,-0.6078074302208272
2036,11.95444292103437,1.137134609921329,6.087424846153851,3.3867323460601995,4.0104496316973695,0.22862171629342143,-0.6216510092491419
2037,12.07804710131947,1.1304905756118888,6.146120769230777,3.4173910881381815,4.048694253819505,0.23182615402031725,-0.6354945882774228
2038,12.20165128160454,1.1238465413024485,6.204816692307702,3.4480498302161635,4.086938875941627,0.2350305917472122,-0.6493381673057144
2039,12.32525546188964,1.1172025069930065,6.263512615384613,3.4787085722941455,4.1251834980637625,0.23823502947410713,-0.6631817463339829
2040,12.44885964217471,1.1105584726835662,6.322208538461538,3.5093673143721276,4.163428120185898,0.24143946720100296,-0.6770253253622904
2041,12.57246382245981,1.103914438374126,6.380904461538464,3.5400260564501167,4.20167274230802,0.2446439049278979,-0.6908689043905625
2042,12.69606800274488,1.0972704040646857,6.439600384615389,3.5706847985280987,4.2399173644301555,0.24784834265479372,-0.7047124834188718
2043,12.81967218302998,1.0906263697552454,6.498296307692314,3.6013435406060808,4.278161986552291,0.25105278038168866,-0.7185560624471492
2044,12.94327636331505,1.0839823354458051,6.556992230769239,3.6320022826840628,4.316406608674413,0.2542572181085836,-0.7323996414754443
2045,13.06688054360015,1.077338301136363,6.6156881538461505,3.662661024762045,4.354651230796549,0.2574616558354794,-0.7462432205037111
2046,13.19048472388522,1.0706942668269228,6.674384076923076,3.693319766840034,4.392895852918684,0.26066609356237436,-0.7600867995320257
2047,13.314088904170319,1.0640502325174825,6.733080000000001,3.723978508918016,4.431140475040806,0.2638705312892702,-0.7739303785602925
2048,13.43769308445539,1.0574061982080423,6.791775923076926,3.754637250995998,4.469385097162942,0.2670749690161651,-0.7877739575885983
2049,13.56129726474046,1.050762163898602,6.850471846153852,3.78529599307398,4.507629719285077,0.27027940674306006,-0.8016175366169076
2050,13.68490144502556,1.0441181295891617,6.909167769230777,3.815954735151962,4.545874341407199,0.2734838444699559,-0.8154611156451725
